trechos reconhecidos:
    2.16–  4.32  もしもーし
    6.54– 11.52  俺の名はモンキーディールフィ海賊王。
   11.52– 12.72  王になる男だ。
   12.72– 15.42  おいルフィ何言ってんだ。
   15.42– 19.14  ドクタービザバンクは俺たちがもらった。
   19.86– 25.26  ヨーくの命が惜しければ、海岸の船を全部避
   25.26– 25.92  けろ。
   27.72– 32.82  やく助けて何やってんのよ五
   32.82– 35.94  郎せここから出して
   37.26– 42.78  助けて麦わらに殺されると
   42.78– 45.78  悪と噂に疑わぬ凶悪さ
   47.04– 48.72  どういうことだ。
   48.72– 53.94  えルビーさん何が起きてるご老生
   53.94– 58.62  相手に相変わらず権力をカバにしてやがる。
   59.46– 60.60  みんな
   64.50– 67.20  麦わらのルフィか。
   67.20– 72.00  そうだなんか文句あっかいや、それ以上挑発するな。
   72.00– 76.98  エッグヘッドの中では今誰が生き残っている。
   76.98– 77.52  あ
   78.12– 85.50  えーと怪我してるやつもいてガ
   85.50– 85.86  チャ

média reconhecido: início -0.82 s, fim +0.71 s
média legenda:     início -1.49 s, fim +1.42 s
