trechos reconhecidos:
    2.16–  4.32  もしもーし
    6.54– 11.52  俺の名はモンキーディールフィ海賊王。
   11.52– 12.72  王になる男だ。
   12.72– 15.42  おいルフィ何言ってんだ。
   15.42– 19.14  ドクタービザバンクは俺たちがもらった。
   19.86– 25.92  ヨークの命が惜しければ、海岸の船を全部避けろ。
   27.72– 34.74  やく助けて何やってんのよ五郎せこ
   34.74– 35.94  こから出して
   37.26– 44.34  助けて麦わらに殺されると悪と噂に
   44.34– 45.78  疑わぬ凶悪さ
   47.04– 48.72  どういうことだ。
   48.72– 55.92  えルビーさん何が起きてるご老生相手に相
   55.92– 58.62  変わらず権力をカバにしてやがる。
   59.46– 60.60  みんな
   64.50– 67.20  麦わらのルフィか。
   67.20– 72.00  そうだなんか文句あっかいや、それ以上挑発するな。
   72.00– 76.98  エッグヘッドの中では今誰が生き残っている。
   76.98– 77.52  あ
   78.36– 85.50  えーと怪我してるやつもいてガ
   85.50– 85.86  チャ

média reconhecido: início -0.93 s, fim +1.13 s
média legenda:     início -1.38 s, fim +1.43 s
